,index,인원,수료,미수료,수료율,대분류,중분류,소분류
52,공직에 디지털트랜스포메이션을 입혀라,1034,966,51,0.9498525073746312,행정안전부,직무공통,정책
174,사회적가치,175,165,9,0.9482758620689655,행정안전부,직무공통,정책
396,2020년 글로벌 Tec & Biz,19,18,1,0.9473684210526315,행정안전부,직무공통,정책
395,Hri news Briefing : 흡(뉴스브리핑),19,17,1,0.9444444444444444,행정안전부,직무공통,소양
197,한국판뉴딜(디지털뉴딜),137,124,8,0.9393939393939394,행정안전부,직무공통,정책
161,코로나블루,198,183,12,0.9384615384615385,행정안전부,직무공통,소양
351,(마이크로러닝)다함께 적극행정,31,29,2,0.9354838709677419,행정안전부,직무공통,정책
408,성공적 정책개발의 이해와 방안_과정론,16,14,1,0.9333333333333333,행정안전부,직무공통,정책
405,재난관리 총론,17,14,1,0.9333333333333333,행정안전부,외국어,외국어
72,나쁜 리더십 버리기,735,670,49,0.9318497913769124,행정안전부,정보화,정보화
22,데이터 마인드,2358,2184,162,0.9309462915601023,행정안전부,직무공통,재난
11,데이터 리터러시,4311,3980,301,0.9296893249240832,행정안전부,직무공통,정책
32,고용노동부와 보건복지부가 함께하는 장애인식개선교육,1948,1788,139,0.9278671510119356,행정안전부,청렴,청렴
172,미래대응역량,178,165,13,0.9269662921348315,행정안전부,청렴,청렴
41,국어학자의 밥상 인문학,1582,1414,112,0.926605504587156,행정안전부,정보화,정보화
127,(집합연계) 5급승진리더과정(지역공동체),301,264,21,0.9263157894736842,행정안전부,직무공통,소양
54,일과 삶의 방식을 혁신하라,997,903,72,0.9261538461538461,행정안전부,직무공통,정책
27,정보보안,2279,2055,168,0.9244264507422402,행정안전부,정보화,정보화
266,한반도 통일 역사와 문화유산,65,60,5,0.9230769230769231,행정안전부,직무공통,소양
427,방송통신서비스 피해예방,14,12,1,0.9230769230769231,행정안전부,직무공통,정책
12,"모두의 행복을 위한 법령, 성별영향평가",3870,3521,299,0.9217277486910995,행정안전부,직무공통,정책
